,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Luis,los-juegos-del-hambre.wikia.com,44651,Books,Movies,MMO
Luis,es.smashbros.wikia.com,10925,Gaming,Fighting| Nintendo 3DS| Nintendo Wii U,MOBA
Luis,es.warhammer40k.wikia.com,368,Gaming,Tabletop| RPG| Fantasy| Adventure,Mobile
Luis,es.shingeki-no-kyojin.wikia.com,62923,Comics,Anime| TV,Movies
Luis,es.mortalkombat.wikia.com,1115,Gaming,Fighting| PlayStation  PlayStation  Xbox 36 Xbox One,Music
Luis,es.fallout.wikia.com,1994,Gaming,Shooter| RPG| PC| PlayStation  Xbox 360,Nintendo 3DS
Luis,es.corazondemelon.wikia.com,59769,Gaming,Romance| Simulation,Nintendo Wii U
Luis,es.outlast.wikia.com,85473,Gaming,PC| Horror,PC
Luis,es.clubpenguin.wikia.com,449,Gaming,PC| Children| Young Adult,Philosophy
Luis,es.sonic.wikia.com,942,Gaming,Action| Adventure| TV| PlayStation  Xbox 36 Nintendo 3DS| Nintendo Wii U,PlayStation 3
,,,,,PlayStation 4
,,,,,PlayStation Vita
,,,,,Politics
,,,,,Pop
,,,,,Racing
,,,,,Rock
,,,,,Romance
,,,,,RPG
,,,,,Sci-Fi
,,,,,Science
,,,,,Shooter
,,,,,Simulation
,,,,,Sports
,,,,,Sports
,,,,,Strategy
,,,,,Survival
,,,,,Tabletop
,,,,,Technology
,,,,,Toys
,,,,,Trading Card Game (TCG)
,,,,,Travel
,,,,,TV
,,,,,Web entertainment (YouTube)
,,,,,Wikia
,,,,,Xbox 360
,,,,,Xbox One
,,,,,Young Adult
